,values
0,22734234976256.0
1,22734234976256.0
2,22734234976256.0
3,80428535158598.0
4,97002564566360.0
5,98166618285971.0
6,95783011799654.0
7,94346705705174.0
8,94505662107401.0
9,95824036853741.0
10,97767025146887.0
11,100004538067829.0
12,102285796519646.0
13,104463597616331.0
14,106486681500347.0
15,108353952057260.0
16,110106823923998.0
17,111782650831604.0
18,113415504770918.0
19,115050993346733.0
20,116672555986757.0
21,118296528757916.0
22,119912657047463.0
23,121502168244941.0
24,123052311766181.0
25,124570945298993.0
26,126053750416631.0
27,127484509907951.0
28,128804707109615.0
29,129965782831577.0
30,130890295928765.0
31,131539307926376.0
32,131946362567330.0
33,132132536943635.0
34,132071075298143.0
35,131736020848685.0
36,131193048017915.0
37,130538786556599.0
38,129826114081529.0
39,129147024967973.0
40,128589743221670.0
41,128216813396348.0
42,127943946933272.0
43,127768905381881.0
44,127754292723794.0
45,127907880806534.0
46,128185937305424.0
47,128488880884445.0
48,128808127514897.0
49,129095989615802.0
50,129367958057414.0
51,129592470026513.0
52,129790008336197.0
53,129942500304503.0
54,130136638018202.0
55,130401626984171.0
56,130706723173466.0
57,130965386370593.0
58,131124653118473.0
59,131177312832998.0
60,131116326610634.0
61,130981121555510.0
62,130809024986273.0
63,130612384698053.0
64,130355920332893.0
65,130024563618875.0
66,129713425593995.0
67,129498494721545.0
68,129413209094861.0
69,129486714792929.0
70,129632927214086.0
71,129826285762103.0
72,129981617062979.0
73,130117944644933.0
74,130249597232795.0
75,130434193468439.0
76,130619806581329.0
77,130797812924171.0
78,130914648157877.0
79,130995047491301.0
80,131027310233015.0
81,130969295405201.0
82,130881262889333.0
83,130851496119041.0
84,130925384796851.0
85,131056766657654.0
86,131146555597856.0
87,131148325228388.0
88,131106864369767.0
89,131095738147952.0
90,131168959912763.0
91,131302567017929.0
92,131462943086441.0
93,131594879607560.0
94,131690888667020.0
95,131784758322404.0
96,131988021518921.0
97,132285649603247.0
98,132498758020373.0
99,131496618891341.0
100,128875644202172.0
101,124809568090655.0
102,121031671028795.0
103,118385809259495.0
104,116900362902257.0
105,116132897911685.0
106,115600133471969.0
107,114909099352322.0
108,113928215598971.0
109,112547910387110.0
110,110954014731896.0
111,109319120434991.0
112,107862965424917.0
113,106586084552693.0
114,105364379175713.0
115,104095653130754.0
116,102751480076621.0
117,101347733863310.0
118,99956520331901.0
119,98695691593346.0
120,97456138039769.0
121,96233798765285.0
122,94961744758430.0
123,93637810202732.0
124,92265666421235.0
125,90928235131181.0
126,89677469515502.0
127,88526965355039.0
128,87422616856586.0
129,86346311719586.0
130,85364014903049.0
131,84495073487045.0
132,83771453073833.0
133,83204128013951.0
134,82795957449266.0
135,82560022118897.0
136,82465472344316.0
137,82465683643484.0
138,82517537779931.0
139,82633937209103.0
140,82790008057067.0
141,82972412063843.0
142,83133078668711.0
143,83250448753436.0
144,83360647872647.0
145,83493238100567.0
146,83639325062843.0
147,83785748783168.0
148,83869013861558.0
149,83901950119370.0
150,83893141585304.0
151,83872110714989.0
152,83866841441987.0
153,83880589094105.0
154,83931340513019.0
155,84044233696622.0
156,84178250193926.0
157,84284012030609.0
158,84355583020670.0
159,84379222115090.0
160,84359875035020.0
161,84322613747363.0
162,84292219682666.0
163,84323208026273.0
164,84410415154766.0
165,84516295847231.0
166,84639641736551.0
167,84741085146488.0
168,84839504337083.0
169,84954702002237.0
170,85058159357369.0
171,85145835305891.0
172,85234118739521.0
173,85335331040993.0
174,85445906536847.0
175,85507513450517.0
176,85534837074179.0
177,85530036621206.0
178,85561599434426.0
179,85616946610244.0
180,85737888971528.0
181,85829678650727.0
182,85892183585861.0
183,85967359867976.0
184,86065990357739.0
185,86194948881209.0
186,86306250717953.0
187,86396653746362.0
188,86488417013165.0
189,86577869195318.0
190,86678718326345.0
191,86788725955685.0
192,86883962452562.0
193,86907013871171.0
194,86906320545776.0
195,86850570580919.0
196,86802400973714.0
197,86762029626428.0
198,86772185192690.0
199,86836585217237.0
200,86935354372079.0
201,87068611512998.0
202,87160513444880.0
203,87208068963878.0
204,87198283171160.0
205,87238727152535.0
206,87284050824071.0
207,87304018595447.0
208,87311882886356.0
209,87339642314552.0
210,87391476641702.0
211,87455949300338.0
212,87516466702673.0
213,87586472758271.0
214,87629742866018.0
215,87650120029532.0
216,87654887467010.0
217,87652431114182.0
218,87648436239287.0
219,87702363748820.0
220,87761342629088.0
221,87792846014417.0
222,87784420460093.0
