,values
0,2306605056.0
1,2306605056.0
2,2306605056.0
3,1380969883.4492493
4,2336985528.8518066
5,2532178492.908844
6,2534205530.15744
7,2535666905.4706116
8,2564468935.582611
9,2606203473.178253
10,2646493851.2587585
11,2678729203.3788147
12,2701897978.433899
13,2717484916.0345154
14,2727539188.0267334
15,2733847302.3666077
16,2737728235.1235657
17,2740075240.275635
18,2741464555.1770325
19,2742263860.085785
20,2742702125.115753
21,3141259654.736969
22,3579256610.1358337
23,4070803551.261505
24,4398301644.794769
25,4561329841.503693
26,4632044469.751007
27,4664154392.485382
28,4683144893.357452
29,4697786191.766022
30,4710071385.243561
31,4720157875.372101
32,4728076650.588104
33,4734058402.585236
34,4738454825.523346
35,4741629418.680939
36,4743896001.462189
37,4745503465.118683
38,4746635772.74942
39,4747430650.738678
40,4747985491.315338
41,4748371617.071259
42,5337977776.282623
43,5856625826.674469
44,6406492021.462494
45,6688249953.077393
46,6785955017.603516
47,6812491940.574097
48,6823585800.827637
49,6835138093.188843
50,6847889588.853149
51,6859768489.49707
52,6869546079.020874
53,6877042329.365112
54,6882589751.371826
55,6886633004.510254
56,6889563625.215698
57,6891682644.013794
58,6893212390.63916
59,6894312234.1936035
60,6895101209.623535
61,6895664904.039185
62,6896064310.553589
63,6896348617.161133
64,7597612015.505859
65,8173667374.144165
66,8748566814.914429
67,8996348385.348022
68,9049131038.362427
69,9045539331.012451
70,9042834975.081177
71,9049506834.639526
72,9060336063.483276
73,9070709811.499023
74,9078931092.880493
75,9084990070.028809
76,9089384525.447144
77,9092585680.121704
78,9094936866.253296
79,9096664348.616089
80,9097930447.591553
81,9098853214.36621
82,9099523154.849731
83,9100009132.234253
84,9100359350.754272
85,9100610209.525635
86,9100790237.585083
87,9100920093.890259
88,9101012567.319702
89,9101079462.992065
90,9101126683.466675
91,9101159147.542969
92,9101182757.780273
93,9101199481.698364
94,9101211286.817017
95,9101219156.896118
96,9101225059.455444
97,9101228994.494995
98,9976942533.724731
99,10585201272.286743
100,11156578852.659058
101,11321787553.159058
102,11303763104.496704
103,11265546000.379517
104,11252424610.997437
105,11257157479.817139
106,11266691096.888794
107,11274804164.682617
108,11280424384.92102
109,11284223665.6073
110,11286920151.459473
111,11288929972.910034
112,11290449881.936523
113,11291588092.126587
114,11292430190.590454
115,11293050943.07959
116,11293503472.62793
117,11293832048.43042
118,11294073069.602905
119,11294246211.34314
120,11294374100.12854
121,11838226078.84314
122,12166689732.706177
123,12460771962.25415
124,12515979583.391724
125,12483485994.301147
126,12454211267.56311
127,12445616157.424316
128,12448154257.93457
129,12452806458.443481
130,12456237812.931763
131,12458306659.975586
132,12459605223.027344
133,12460540778.680542
134,12461272696.036987
135,12461849179.331177
136,12462287936.241089
137,12462616512.04358
138,12462856549.456177
139,12463032642.476074
140,13764884403.538452
141,14790135348.257202
142,15686291417.953247
143,15950759523.601929
144,15900219843.13147
145,15809469961.011353
146,15768045799.660278
147,16250109787.34851
148,16621555878.224731
149,16932734870.860962
150,17016856178.857788
151,16994253311.6781
152,16961128148.739624
153,16946572437.441284
154,16945273874.389526
155,16947699826.272583
156,16949506009.426392
157,16950200543.907104
158,16950405165.963745
159,16950544859.867798
160,16950723904.167358
161,16950914753.585571
162,16951080025.246704
163,16951205946.51233
164,16951304322.501099
165,16951373185.693237
166,16951428276.246948
167,16951469594.162231
168,16951503041.998413
169,16951524684.715942
170,16951542392.39392
171,16951556165.032349
172,16951567970.151001
173,16951573872.710327
174,16951579775.269653
175,16951583710.309204
176,16951587645.348755
177,16951587645.348755
178,16951589612.86853
179,16951591580.388306
180,16951591580.388306
181,16951591580.388306
182,16951593547.908081
183,16951593547.908081
184,18080188468.829224
185,18740444820.01526
186,19282414866.064697
187,19324633905.40503
188,19219497518.687256
189,19144310717.99048
190,19122058069.33081
191,19124212503.484863
192,19129270996.827393
193,19131092920.139404
194,19130703351.223877
195,19129908473.23462
196,19129440203.528076
197,19129302477.1438
198,19129302477.1438
199,19129333957.460205
200,19129357567.69751
201,19129373307.855713
202,19129387080.49414
203,20114364862.93042
204,20796130140.301025
205,21360225929.98462
206,21478521088.960205
207,21422069011.564697
208,21359541233.102783
209,21333005293.89209
210,21329139117.533447
211,21331118442.42749
212,21332070721.99878
213,21331511946.38257
214,21330524251.455322
215,21329768723.861572
216,21329333901.99121
217,21329113539.776367
218,21328991553.550293
219,21904884591.80713
220,22263045989.159912
221,22561530544.205322
222,22604888777.495605
223,22566716926.333252
224,22533631113.790283
225,22521341985.273193
226,22520159505.888184
227,22521253446.8833
228,22521558412.448486
229,22521109817.939697
230,22520501854.3291
231,23054343092.426514
232,23414230004.622314
233,23718672209.547607
234,23783649550.129883
235,23760977819.758057
236,23733542724.01001
237,23721350003.961914
238,23718975207.593018
239,23719341166.27124
240,23719474957.615967
241,23719067681.02246
242,23718497100.287598
243,23718030798.10083
244,23717721897.496094
245,23717521210.479004
246,23717397256.733154
247,23717310685.863037
248,23717251660.269775
249,23717208374.834717
250,23717180829.55786
251,23717159186.840332
252,23717149349.241455
253,23717137544.122803
254,23717133609.083252
255,23717125739.00415
256,23717125739.00415
257,23717121803.9646
258,23717121803.9646
259,24734187866.417725
260,25371896440.977783
261,25916313097.86792
262,26020815943.218018
263,25986994278.279053
264,25947051659.318848
265,25929322338.622803
266,25925513220.337646
267,25925751290.23047
268,25925902789.253174
269,25925377461.473145
270,25924584551.003662
271,25923866406.285645
272,25923329273.386963
273,25922957412.149414
274,25922699667.058838
275,25922518655.239502
276,25922390766.4541
277,25922302228.06421
278,25922239267.431396
279,25922194014.476562
280,25922160566.64038
281,25922136956.403076
282,25922123183.76465
283,25922109411.12622
284,25922101541.04712
285,25922095638.487793
286,25922089735.928467
287,26520837483.89624
288,26842668628.596436
289,27126455810.919678
290,27151744342.592773
291,27121702283.142334
292,27099426024.24536
293,27091498887.070312
294,27090454134.06958
295,27090902728.57837
296,27091075870.318604
297,27090855508.10376
298,27090493484.465088
299,27090155071.06372
300,27089903228.53247
301,27089718281.673584
302,27089590392.888184
303,27429701763.821533
304,27716587789.791016
305,27975836065.475586
306,28079788005.288574
307,28104596462.136475
308,28104454800.712646
309,28101298898.99292
310,28099801616.443848
311,28099475008.161133
312,28099449430.404053
313,28099362859.533936
314,28099177912.67505
315,28098959517.97998
316,28098764733.522217
317,28098601429.38086
318,28098471573.075684
319,28098371229.56714
320,28098300398.855225
321,28098247275.82129
322,28098209892.945557
323,28098180380.148926
324,28098160704.95117
325,28098144964.79297
326,28098133159.674316
327,28098125289.595215
328,28098119387.03589
329,28098115451.996338
330,28098115451.996338
331,29107030080.02002
332,29683361875.186768
333,30204227320.36548
334,30307779853.664062
335,30311437472.926514
336,30302231447.89746
337,30298129169.16577
338,30297814366.00171
339,30298550218.397705
340,30299148344.409424
341,30299388381.82202
342,30299372641.66382
343,30299229012.720215
344,30299046033.381104
345,30298866989.081543
346,30298713522.539062
347,30298585633.753662
348,30298483322.72534
349,30298404621.934326
350,30298341661.301514
351,30298294440.826904
352,30298259025.470947
353,30298231480.19409
354,30298209837.476562
355,30298196064.838135
356,30298184259.719482
357,30298174422.120605
358,30298170487.081055
359,30298164584.52173
360,30298164584.52173
361,30298162617.001953
362,30298158681.962402
363,30298156714.442627
364,30298156714.442627
365,30298156714.442627
366,30298156714.442627
367,30298156714.442627
368,30298156714.442627
369,30298154746.92285
370,30298154746.92285
371,30298156714.442627
372,30298156714.442627
373,30298156714.442627
374,30298156714.442627
375,30298156714.442627
376,30298156714.442627
377,30298156714.442627
378,31156007141.63159
379,31663717749.59204
380,32136713438.635498
381,32259699164.755615
382,32296531134.950928
383,32310008645.412354
384,32317410454.807373
385,32578106825.04663
386,32809943615.22046
387,33035082968.078857
388,33148451457.536865
389,33203231143.12329
390,33230056307.740967
391,33243986347.750732
392,33251675415.03296
393,33256102334.527588
394,33258703395.670654
395,33260245931.17456
396,33261166730.429443
397,33261713700.927002
398,33262036374.170166
399,33262225256.068604
400,33262331502.136475
401,33262386592.690186
402,33262418073.00659
403,33262429878.125244
404,33262433813.164795
405,33262433813.164795
406,33262425943.085693
407,33262425943.085693
408,33159855202.15503
409,33037349550.860107
410,32888085630.619873
411,32756324766.301514
412,32636349345.437744
413,32523146127.64087
414,32416730853.06909
415,32316800523.677002
416,32222733403.215576
417,32134057286.93872
418,32050378670.891357
419,31971335531.434814
420,31896613065.40503
421,31825916144.835693
422,31758969316.958252
423,31695528609.320557
424,31635379562.26709
425,31578303781.102783
426,31524112383.9292
427,31472636164.045654
428,31423700012.19214
429,31377166201.984375
430,31332883234.39966
431,31290731090.73169
432,31250585817.23462
433,31212329362.721924
434,31175863351.204834
435,31141091374.214355
436,31107920958.321045
437,31076263565.13501
438,31046042461.38501
439,31017180913.799805
440,30989613994.226807
441,30963266936.91455
442,30938088586.348877
443,30914014014.377197
444,30890990097.965576
445,30868965681.599854
446,30847887642.246094
447,30827716629.50879
448,30808413292.99243
449,30789926477.18286
450,30772222734.243896
451,30755266648.81958
452,30739022805.553955
453,30723459724.130615
454,30708538054.154053
455,30694242055.466064
456,30680536312.710693
457,30667393280.611084
458,30654791316.449707
459,30642702874.949707
460,30631110248.433105
461,30619987859.142822
462,30609319966.920654
463,30599080994.00952
464,30589255200.25122
465,30579826845.48755
466,30570776254.520752
467,30562091622.232178
468,30553749338.38452
469,30545741532.89868
470,30538052465.616455
471,30530670331.41919
472,30523579390.14868
473,30516767836.68628
474,30510225833.433105
475,30503947477.829834
476,30497909159.63916
477,30492114813.900635
478,30486542797.89673
479,30481189176.58789
480,30476048047.414795
481,30471105637.739014
482,30466359980.04077
