,values
2021/6/2,9.14759E+13
2021/6/3,9.17932E+13
2021/6/4,9.23057E+13
2021/6/5,9.26528E+13
2021/6/6,9.32354E+13
2021/6/7,9.37221E+13
2021/6/8,9.41684E+13
2021/6/9,9.47813E+13
2021/6/10,9.63092E+13
2021/6/11,9.77547E+13
2021/6/12,9.93723E+13
2021/6/13,1.00919E+14
2021/6/14,1.02463E+14
2021/6/15,1.04239E+14
2021/6/16,1.05991E+14
2021/6/17,1.07803E+14
2021/6/18,1.09685E+14
2021/6/19,1.11557E+14
2021/6/20,1.1357E+14
2021/6/21,1.15309E+14
2021/6/22,1.17274E+14
2021/6/23,1.19205E+14
2021/6/24,1.2085E+14
2021/6/25,1.2267E+14
2021/6/26,1.24593E+14
2021/6/27,1.26137E+14
2021/6/28,1.27724E+14
2021/6/29,1.29088E+14
2021/6/30,1.30037E+14
2021/7/1,1.30625E+14
2021/7/2,1.31107E+14
2021/7/3,1.31552E+14
2021/7/4,1.31468E+14
2021/7/5,1.30962E+14
2021/7/6,1.30488E+14
2021/7/7,1.30138E+14
2021/7/8,1.29583E+14
2021/7/9,1.28911E+14
2021/7/10,1.289E+14
2021/7/11,1.28792E+14
2021/7/12,1.28599E+14
2021/7/13,1.28263E+14
2021/7/14,1.28509E+14
2021/7/15,1.29027E+14
2021/7/16,1.29019E+14
2021/7/17,1.29392E+14
2021/7/18,1.2962E+14
2021/7/19,1.29811E+14
2021/7/20,1.29952E+14
2021/7/21,1.30344E+14
2021/7/22,1.30252E+14
2021/7/23,1.30497E+14
2021/7/24,1.30682E+14
2021/7/25,1.31149E+14
2021/7/26,1.31583E+14
2021/7/27,1.31639E+14
2021/7/28,1.31612E+14
2021/7/29,1.31702E+14
2021/7/30,1.31539E+14
2021/7/31,1.31187E+14
2021/8/1,1.31316E+14
2021/8/2,1.31145E+14
2021/8/3,1.30662E+14
2021/8/4,1.30441E+14
2021/8/5,1.30039E+14
2021/8/6,1.30083E+14
2021/8/7,1.30305E+14
2021/8/8,1.30197E+14
2021/8/9,1.30737E+14
2021/8/10,1.30664E+14
2021/8/11,1.30692E+14
2021/8/12,1.30834E+14
2021/8/13,1.30969E+14
2021/8/14,1.31052E+14
2021/8/15,1.31627E+14
2021/8/16,1.31388E+14
2021/8/17,1.31499E+14
2021/8/18,1.31722E+14
2021/8/19,1.31572E+14
2021/8/20,1.3147E+14
2021/8/21,1.31277E+14
2021/8/22,1.31423E+14
2021/8/23,1.31812E+14
2021/8/24,1.31911E+14
2021/8/25,1.31867E+14
2021/8/26,1.31738E+14
2021/8/27,1.31557E+14
2021/8/28,1.31742E+14
2021/8/29,1.3199E+14
2021/8/30,1.3214E+14
2021/8/31,1.32257E+14
2021/9/1,1.32451E+14
2021/9/2,1.323E+14
2021/9/3,1.32406E+14
2021/9/4,1.32822E+14
2021/9/5,1.33465E+14
2021/9/6,1.33516E+14
2021/9/7,1.32776E+14
2021/9/8,1.24556E+14
2021/9/9,1.21292E+14
2021/9/10,1.1973E+14
2021/9/11,1.19468E+14
2021/9/12,1.19071E+14
2021/9/13,1.1838E+14
2021/9/14,1.1765E+14
2021/9/15,1.16473E+14
2021/9/16,1.14684E+14
2021/9/17,1.13546E+14
2021/9/18,1.1136E+14
2021/9/19,1.10117E+14
2021/9/20,1.09296E+14
2021/9/21,1.08135E+14
2021/9/22,1.06932E+14
2021/9/23,1.05693E+14
2021/9/24,1.0422E+14
2021/9/25,1.02905E+14
2021/9/26,1.01639E+14
2021/9/27,1.0047E+14
2021/9/28,9.97823E+13
2021/9/29,9.79337E+13
2021/9/30,9.68967E+13
2021/10/1,9.56778E+13
2021/10/2,9.39144E+13
2021/10/3,9.26256E+13
2021/10/4,9.17477E+13
2021/10/5,9.0344E+13
2021/10/6,8.91708E+13
2021/10/7,8.79461E+13
2021/10/8,8.66337E+13
2021/10/9,8.60086E+13
2021/10/10,8.5076E+13
2021/10/11,8.43671E+13
2021/10/12,8.40686E+13
2021/10/13,8.36987E+13
2021/10/14,8.36159E+13
2021/10/15,8.34947E+13
2021/10/16,8.32698E+13
2021/10/17,8.31853E+13
2021/10/18,8.35221E+13
2021/10/19,8.33612E+13
2021/10/20,8.3387E+13
2021/10/21,8.33376E+13
2021/10/22,8.32133E+13
2021/10/23,8.35486E+13
2021/10/24,8.37617E+13
2021/10/25,8.36314E+13
2021/10/26,8.38032E+13
2021/10/27,8.34952E+13
2021/10/28,8.35612E+13
2021/10/29,8.36109E+13
2021/10/30,8.3582E+13
2021/10/31,8.37369E+13
2021/11/1,8.37849E+13
2021/11/2,8.39725E+13
2021/11/3,8.43587E+13
2021/11/4,8.4163E+13
2021/11/5,8.39968E+13
2021/11/6,8.4284E+13
2021/11/7,8.40515E+13
2021/11/8,8.38669E+13
2021/11/9,8.4137E+13
2021/11/10,8.41538E+13
2021/11/11,8.44373E+13
2021/11/12,8.45824E+13
2021/11/13,8.44504E+13
2021/11/14,8.47655E+13
2021/11/15,8.46356E+13
2021/11/16,8.47766E+13
2021/11/17,8.51249E+13
2021/11/18,8.48633E+13
2021/11/19,8.49407E+13
2021/11/20,8.53339E+13
2021/11/21,8.53173E+13
2021/11/22,8.5317E+13
2021/11/23,8.51321E+13
2021/11/24,8.53133E+13
2021/11/25,8.52434E+13
2021/11/26,8.56182E+13
2021/11/27,8.55695E+13
2021/11/28,8.59756E+13
2021/11/29,8.55131E+13
2021/11/30,8.56367E+13
2021/12/1,8.6226E+13
2021/12/2,8.60427E+13
2021/12/3,8.6148E+13
2021/12/4,8.62366E+13
2021/12/5,8.62457E+13
2021/12/6,8.6461E+13
2021/12/7,8.64871E+13
2021/12/8,8.66326E+13
2021/12/9,8.67837E+13
2021/12/10,8.66783E+13
2021/12/11,8.63293E+13
2021/12/12,8.67906E+13
2021/12/13,8.63671E+13
2021/12/14,8.65247E+13
2021/12/15,8.6691E+13
2021/12/16,8.68187E+13
2021/12/17,8.69327E+13
2021/12/18,8.70168E+13
2021/12/19,8.72565E+13
2021/12/20,8.68396E+13
2021/12/21,8.6933E+13
2021/12/22,8.69375E+13
2021/12/23,8.74615E+13
2021/12/24,8.70428E+13
2021/12/25,8.6874E+13
2021/12/26,8.73474E+13
2021/12/27,8.73686E+13
2021/12/28,8.7214E+13
2021/12/29,8.74576E+13
2021/12/30,8.74719E+13
2021/12/31,8.75119E+13
2022/1/1,8.73746E+13
2022/1/2,8.74536E+13
2022/1/3,8.74993E+13
2022/1/4,8.74313E+13
2022/1/5,8.74751E+13
2022/1/6,8.79793E+13
2022/1/7,8.75614E+13
2022/1/8,8.74047E+13
2022/1/9,8.76625E+13
2022/1/10,8.77362E+13
