,values
0,0.02068885
1,0.013452915
2,0.012180085
3,0.028082865
4,0.022484083
5,0.016479214
6,0.003200053
7,0.013828724
8,0.0173
9,0.015966667
10,0.012883763
11,0.012666456
12,0.008447747
13,0.020050668
14,0.007183333
15,0.01095
16,0.007985729
17,0.014483333
18,0.014584063
19,0.0088
20,0.02427143
21,0.010782974
22,0.014731369
23,0.007233574
24,0.016855338
25,0.012616877
26,0.007815234
27,0.015283333
28,0.014696571
29,0.011667833
30,0.014332617
31,0.011532757
32,0.008016667
33,0.00765
34,0.010665422
35,0.013383333
36,0.015616667
37,0.007731916
38,0.007849215
39,0.008599427
40,0.012251429
41,0.01440072
42,0.005600187
43,0.015050251
44,0.006984032
45,0.004333333
46,0.003216613
47,0.00895
48,0.012915806
49,0.010813963
50,0.015099748
51,0.007748579
52,0.008165034
53,0.009019222
54,0.004416446
55,0.004999917
56,0.004817068
57,0.003749313
58,0.004484679
59,0.0034
60,0.005
61,0.003684377
62,0.004366812
63,0.005814728
64,0.003316667
65,0.008632182
66,0.005599907
67,0.001400047
68,0.0045
69,0.0029
70,0.004583333
71,0.004549318
72,0.002233333
73,0.00473357
74,0.0012
75,0.004533333
76,0.00075
77,0.001633333
78,0
79,0.000983415
80,0.004884636
81,0.001116853
82,0.005633333
83,0.002183406
84,0.00164989
85,0.000816844
86,0.003200053
87,0.00165
88,0.001833822
89,0.000766654
90,0.001749708
91,0.000916636
92,0.000833208
93,0.005599627
94,0.004716824
95,0.006149488
96,0
97,0.00119974
98,0.001850031
99,0.000850241
100,0.003815903
101,0.000933333
102,0
103,0.00180051
104,0.001233333
105,0.001216687
106,0
107,0.001099633
108,0.004666744
109,0
110,0.000999867
111,0.000916667
112,0.003150315
113,0.004000867
114,0
115,0.003650487
116,0.005166667
117,0
118,0.008798534
119,0.001316667
120,0.0036006
121,0
122,0.001933333
123,0.000899925
124,0.00318328
125,0.009116819
126,0.003216667
127,0.005634085
128,0.011166667
129,0.005500275
130,0.016783333
131,0.00235
132,0.005
133,0
134,0.000500125
135,0
136,0
137,0.000549881
138,0
139,0.002083333
140,0.003883398
141,0
142,0
143,0
144,0
145,0
146,0.00273347
147,0.004033871
148,0.003650183
149,0
150,0.000666822
151,0.001666833
152,0
153,0.000683345
154,0
155,0.005184543
156,0
157,0.006118196
158,0
159,0
160,0.001899525
161,0.002282801
162,0
163,0
164,0
165,0
166,0
167,0.00075
168,0
169,0
170,0.003800127
171,0.001733333
172,0.00239944
173,0.00458341
174,0
175,0.002583807
176,0.001899588
177,0
178,0.006915168
179,0
180,0.001617017
181,0
182,0.00443289
183,0.001783274
184,0
185,0
186,0
187,0
188,0.0016
189,0.004317746
190,0.004432964
191,0.002033333
192,0
193,0.006833333
194,0
195,0.004066734
196,0
197,0
198,0.004134505
199,0.004934567
200,0
201,0.005433062
202,0.001666667
203,0
204,0
205,0.001716667
206,0.001733333
207,0
208,0
209,0
210,0
211,0
212,0.001666667
213,0
214,0
215,0
216,0
217,0.005000083
218,0
219,0
220,0.009700323
221,0
222,0.004933333
223,0
224,0
225,0
226,0
227,0.00458425
228,0
229,0.001900095
230,0.004465774
231,0.001866076
232,0
233,0
234,0.004582951
235,0.001900222
236,0
237,0.004716745
238,0
239,0
240,0.009534128
241,0
242,0.001950358
243,0.002249363
244,0
245,0
246,0.005831973
247,0.002233966
248,0.002383413
249,0.001833578
250,0.00855057
251,0
252,0.008383333
253,0.002066701
254,0
255,0.002150323
256,0.005533333
257,0
258,0.00555
259,0.007364703
260,0.002100525
261,0.005284038
262,0.002450041
263,0.002266667
264,0.004667367
265,0.006466667
266,0
267,0.00220011
268,0.007016667
269,0.006783333
270,0.001883208
271,0.004783413
272,0.002649294
273,0.005415584
274,0.007931615
275,0.00225105
276,0
277,0.001966667
278,0.005016667
279,0.00298393
280,0.004417992
281,0.0044
282,0.004517871
283,0.003633394
284,0.005133248
285,0.00525
286,0
287,0.006266876
288,0.00395
289,0.005700095
290,0.005883235
291,0.003083128
292,0.00505
293,0.007782296
294,0.002483085
295,0.004666433
296,0.001433405
297,0.003283333
298,0.001149636
299,0.008419192
300,0.00525
301,0.008768859
302,0.001266688
303,0.007934391
304,0.002649912
305,0.005949207
306,0.007964808
307,0.0071
308,0.011150186
309,0.011333333
310,0.0131
311,0.009049406
312,0.005383423
313,0.007817448
314,0.009933333
315,0.009999333
316,0.00965
317,0.01215081
318,0.012919466
319,0.010830265
320,0.00858319
321,0.0175
322,0.007300973
323,0.018029127
324,0.020486065
325,0.019066984
326,0.009502534
327,0.017735994
328,0.020066667
329,0.021331556
330,0.019186531
331,0.0253
332,0.029533333
333,0.0277
334,0.029321554
335,0.078424184
336,0.017596481
337,0.020800347
338,0.022169992
339,0.033621149
340,0.03815
341,0.025015416
342,0.02736986
343,0.036555091
344,0.031933333
