,values
376,549727.3392972127
377,573630.3522451743
378,601774.7598359361
379,590762.4941046983
380,578715.6718049347
381,623511.364724882
382,593301.993714869
383,559066.7580204234
384,586914.1735003069
385,610748.237290971
386,608773.7377197668
387,606745.802551657
388,600447.680083394
389,629580.6142960042
390,642496.25981953
391,629142.5317799151
392,588818.8301288411
393,616542.967069149
394,624339.5845560133
395,651084.7073045075
396,636382.0656125396
397,642195.245674476
398,684021.1451692656
399,704587.4657967091
400,734129.2429753691
401,701525.8040036336
402,724524.8168892488
403,735681.4289581254
404,731314.2659450695
405,714159.3964003623
406,707805.2208208889
407,723544.5897030011
408,700105.1959960535
409,723557.3580654636
410,712796.3737074882
411,711921.7408788055
412,675451.3394934833
413,718641.2193083316
414,749415.781882748
415,723502.5817904994
416,712605.1674796119
417,702569.4261095077
418,725150.1474408507
419,744220.9736148715
420,710687.8063304275
421,670380.7673923671
422,686150.0142426416
423,700439.1525162607
424,709978.2684283853
425,723600.9620232731
426,675337.1264912561
427,661383.4130995274
428,676385.3452076167
429,682256.1744260713
430,646076.6363376454
431,649985.7981891707
432,666762.8518886119
433,656532.2014655173
434,633261.6693521366
435,638541.1957049519
436,558137.3489167765
437,561609.3220375851
438,529656.1757660657
439,555073.0696093962
440,552286.8852364495
441,562757.7085574642
442,548197.4979487658
443,523468.0527404174
444,524415.5290769488
445,526347.765368402
446,522735.9148368165
447,515328.86008868366
448,521078.32602193207
449,529649.1531667113
450,463143.7966026142
451,502665.19819835573
452,549002.3516765907
453,567307.7145209834
454,541534.9664158225
455,518072.2066055685
456,515412.81207187474
457,462256.6507787183
458,478443.04003064334
459,539686.0436894372
460,524078.57199156284
461,495127.5231022313
462,474179.6838044077
463,486810.7863704562
464,494691.7388913855
465,458356.7459899783
466,482668.85727123916
467,456667.4277943745
468,456368.32890369
469,482371.8013185486
470,505500.73229222
471,474202.60301502794
472,465427.03517816216
473,464318.23058191687
474,475950.0172598362
475,468750.2568762824
476,459493.0983282365
477,478567.14851377904
478,464393.62776225805
479,493965.2829090804
480,483206.4053309113
481,510227.64391765743
482,523224.7515936941
483,569181.3440287337
484,573185.9493896663
485,564610.3341089636
486,553913.8299814239
487,552679.0016476735
488,598089.0443275049
489,584215.963144727
490,557164.8465898186
491,565802.4522702768
492,590102.369765386
493,577922.7564960122
494,580880.8030277044
495,600317.6981535256
496,553964.903431274
497,521544.69046087563
498,566924.4721216708
499,576188.8767154142
500,613415.037474893
501,579202.7209910676
502,615988.8839800879
503,632499.3342713118
504,665564.4133878797
505,637501.5317914411
506,635386.7079167739
507,637953.9148734882
508,684067.6220086291
509,694678.0673731714
510,686629.2747276723
511,675270.0925883278
512,631023.6946215183
513,650642.9219633043
514,627257.6022713855
515,645406.1057829261
516,622852.9002726898
517,656579.316723004
518,693416.1701110005
519,671478.9742477685
520,648192.0347886235
521,670063.8566360474
522,646119.0911428332
523,690638.6043827161
524,675586.9395028353
525,676060.901117444
526,682431.4840426818
527,661414.184853062
528,683492.4711215049
529,694833.7137115896
530,684527.6022663414
531,675696.2366855145
532,664085.0070711598
533,664005.6516984552
534,687667.2149122506
535,717567.1446579844
536,725693.5689472556
537,684137.6564767361
538,674386.0111714229
539,659006.135534443
540,672956.3376264945
541,674355.6863105744
542,693812.5639236495
543,678313.3679394573
544,685101.2209499702
545,667306.3372368291
546,682803.1072321534
547,664852.9602314681
548,681434.7218270451
549,661723.179224655
550,667871.7841684818
551,700647.915242523
552,691037.9987605438
553,721493.926849708
554,686228.5396717861
555,646749.4013557956
556,673472.3071536049
557,706125.8619480059
558,720696.7979811728
559,645623.1041029766
560,618931.6084768251
561,630593.0177556574
562,650869.9434478879
563,641800.4479071349
564,628518.9887990579
565,684053.8960189819
566,702144.1119558811
567,727092.9814731479
568,724585.7858200073
569,691174.5563970804
570,653297.2729938254
571,643436.52203127
572,647604.4347480983
573,625298.7439441979
574,644173.7034380436
575,631676.9878869131
576,648321.1229331195
577,626127.0914589539
578,619619.7593717426
579,620731.6922167912
580,612307.4458730817
581,599595.64725627
582,597238.9905965626
583,623771.6477936804
584,618270.3988267034
585,631525.8743171692
586,596750.5368905589
587,613183.9939561337
588,622376.2573019639
589,605411.5725161359
590,604098.5379623026
591,591128.8822655603
592,586676.6181166917
593,584090.7055089697
594,568108.9292655066
595,529245.6729128957
596,532728.5629836097
597,529048.2740292251
598,511171.92816357315
599,537552.8972146362
600,488251.4407071024
601,481486.5388281159
602,564879.4273478612
603,542753.8342964947
604,567790.4863056913
605,513386.53679088503
606,495949.35875213146
607,489048.95262651145
608,501013.674355641
609,458429.1426051408
610,441522.93691939116
611,508572.22572439164
612,435261.6511768326
613,416823.6888882667
614,368898.34264513105
615,392994.41323352605
616,406836.0204028338
617,414996.0254853815
618,412045.2249993868
619,397747.8192110732
620,391255.2345825061
621,406795.16164295375
622,411980.0744299218
623,379167.4896810502
624,395783.7896970883
625,406987.64470707625
626,393098.6030712202
627,382705.60291941464
628,340926.1802639887
629,359766.2182864994
630,324727.78875134885
631,367703.79849494994
632,347868.91351117194
633,386210.9014662504
634,376464.29966410995
635,351520.28212457895
636,321594.33684032783
637,304565.7783212811
638,327772.4047805369
639,286549.2677566968
640,291595.0692346357
641,302265.36629822105
642,308530.03565683216
643,270806.100286752
644,300113.0353588201
645,263887.4034819044
646,257088.50583786145
647,232343.03633462265
648,257264.70923984423
649,275487.5246209167
650,249557.37452749908
651,243017.93000869453
652,238786.2712422721
653,238834.10472014733
654,223836.7053807322
655,255342.79936153255
656,236651.76812895946
657,238861.5247785356
658,237496.37934540212
659,240353.0131582357
660,236180.93476315401
661,229831.9782518372
662,222344.19553203508
663,220357.4862142261
664,225370.61664471403
665,224877.59824912995
666,225326.11890153214
667,203065.64406120218
668,186695.3425084576
669,194332.0841368381
670,202779.52101887017
671,193294.68660766445
672,501335.3732478842
673,663663.6511098966
674,757384.3892119825
675,741881.1073518023
676,730988.9919113368
677,729053.3081620187
678,698372.7207353264
679,697704.616169475
680,723248.6190611199
681,721018.8160824776
682,698128.1427523568
683,717586.9994616136
684,463325.80960951746
685,278284.99303418957
686,208402.61208464578
687,195008.37641511858
688,161375.75954754464
689,153994.83206110075
690,152058.07098119985
691,146710.09822535887
692,155928.4409515187
693,152648.06508968677
694,165123.9602297768
695,168808.46274377406
696,154162.78390884213
697,157220.8865208812
698,165127.21616220474
699,164872.0085174851
700,166650.0029903911
701,166943.93069427833
702,160342.2244480159
703,155613.20604277216
704,168375.79082127847
705,164057.92964778095
706,153579.84432061575
707,145517.1581007121
708,160274.40848288685
709,154058.80155703798
710,144822.5831234306
711,140738.7021920588
712,138261.9271624852
713,155292.43285680749
714,144201.39430940244
715,141629.05606702343
716,136809.39026852231
717,145181.52573293168
718,155641.5996887982
719,152020.43623284157
720,150742.6982209906
721,145180.775591637
722,156224.06046343222
723,147282.84706429485
724,148697.86891329754
725,135190.67313710973
726,127734.93900708854
727,125582.63998859376
728,126394.43651350774
729,127179.42745747697
730,136917.8495274149
731,141462.18953009136
732,148606.66290418245
733,146113.7438763203
734,142971.85686584748
735,152023.66024436336
736,137732.99774747528
737,129737.79232318606
738,127870.49113508128
739,130722.30489108525
740,120955.24178809859
741,127468.43934181612
742,124663.58123876806
743,125682.83173279185
744,125770.52644222975
745,128071.3534370698
746,131891.9188135583
747,122809.71077192854
748,120328.47479571961
749,120647.93922453187
750,123875.95682004094
751,120176.74674853217
752,114272.10531023145
753,113032.8080496192
754,108098.90530821122
755,114937.61630245764
756,119246.63538494986
757,119565.7087826617
758,121612.1580763422
759,117685.4955880167
760,110586.45364361256
761,106293.26733057387
762,110615.6453122925
763,108894.4860127978
764,111491.26768906601
765,109922.70628145151
766,105913.76765750814
767,102524.9883983694
768,97947.40277193114
769,97675.11744241789
770,103401.40879779682
771,105203.61527802236
772,103583.98042055778
773,102329.16161932703
774,98036.40623852145
775,99515.97215977218
776,98656.55762309954
777,97048.2068059612
778,98521.1491391845
779,101619.59977660514
780,102560.48444601521
781,98092.00447681919
782,90687.16823166423
783,91745.45799391717
784,93217.74594856426
785,92901.44168946147
786,94411.23670884222
787,91647.02189955767
788,89213.7311243955
789,88327.32746156771
790,87940.3981975941
791,92253.39941312931
792,97999.27424443513
793,98062.3339945469
794,98698.83686330356
795,95082.82065346465
796,95821.26293603145
797,92810.62671144679
798,87974.30618015863
799,85057.13436879963
800,84738.48392309435
801,90472.40437504463
802,92280.09327090252
803,94685.03030117135
804,88832.22043424193
805,85663.0889303647
806,84214.46234740596
807,82628.4880854832
808,84914.46387873404
809,83953.45307799242
810,81360.03905732371
811,83097.7812675666
812,83947.75519624352
813,90430.90719704144
814,87601.28645104263
815,84502.12557346001
816,83510.96547685377
817,86368.57287732512
818,88358.88127730321
819,86954.83223979175
820,83658.00913106278
821,84186.66721837036
822,82059.70541913714
823,83164.22463373095
824,81743.82411204092
825,76428.4984629713
826,78111.9591722954
827,78386.23955844343
828,81631.54232463613
829,81189.33403142635
830,79034.2658743225
831,79628.42566106282
832,79480.40841921605
833,78472.8250163924
834,78925.47942614183
835,82371.02203665301
836,82976.33818009496
837,79749.9166298937
838,80594.63956950791
839,81771.4516563192
840,83519.95121193677
841,84756.75864186883
842,82544.70368704945
843,80471.39295083843
844,78628.83844523132
845,77778.48146568052
846,79944.79376197793
847,80191.54236656614
848,131871.20214546286
849,124004.9172809124
850,107768.17279952578
851,108113.21385439578
852,102072.29408748727
853,92271.41078442801
854,82357.98234648816
855,83295.3477359945
856,81833.63358151168
857,78984.11813075095
858,76422.72077895701
859,76251.28955244459
860,77310.45713961683
861,76390.27317784913
862,75658.11931379512
863,74022.89109367318
864,72562.1425466016
865,74426.85016108118
866,75568.18216069974
867,75168.08552293666
868,76683.96147494018
869,76337.28447362967
870,77737.54290353507
871,76961.33818898536
872,77942.17187245004
873,75788.29276910052
874,73604.07284444943
875,75124.09851425327
876,76363.74690483324
877,74746.31458989345
878,76106.4324803073
879,75698.75462733209
880,79056.35514138266
881,78310.82641764916
882,78521.99917232618
