,values
2022/11/1,25747542016
2022/11/2,25747542016
2022/11/3,25747542016
2022/11/4,25747542016
2022/11/5,25747542016
2022/11/6,25747542016
2022/11/7,25747542016
2022/11/8,25747542016
2022/11/9,25747542016
2022/11/10,25747542016
2022/11/11,25747542016
2022/11/12,25747542016
2022/11/13,25747542016
2022/11/14,25747542016
2022/11/15,25747542016
2022/11/16,25747542016
2022/11/17,25747542016
2022/11/18,25747542016
2022/11/19,25747542016
2022/11/20,25747542016
2022/11/21,27606065152
2022/11/22,26923466752
2022/11/23,26923466752
2022/11/24,26923466752
2022/11/25,26923466752
2022/11/26,26923466752
2022/11/27,26923466752
2022/11/28,26923466752
2022/11/29,26923466752
2022/11/30,26923466752
2022/12/1,26923466752
2022/12/2,26923466752
2022/12/3,26923466752
2022/12/4,26923466752
2022/12/5,26923466752
2022/12/6,26923466752
2022/12/7,28026114048
2022/12/8,27955789824
2022/12/9,27955789824
2022/12/10,27955789824
2022/12/11,27955789824
2022/12/12,27955789824
2022/12/13,27955789824
2022/12/14,27955789824
2022/12/15,27955789824
2022/12/16,27955789824
2022/12/17,27955789824
2022/12/18,27955789824
2022/12/19,27955789824
2022/12/20,27955789824
2022/12/21,27955789824
2022/12/22,27955789824
2022/12/23,27955789824
2022/12/24,27955789824
2022/12/25,27955789824
2022/12/26,27955789824
2022/12/27,27955789824
2022/12/28,27955789824
2022/12/29,27955789824
2022/12/30,27955789824
2022/12/31,27955789824
2023/1/1,27955789824
2023/1/2,27955789824
2023/1/3,27955789824
2023/1/4,31562555392
2023/1/5,30293192704
2023/1/6,30293192704
2023/1/7,30293192704
2023/1/8,30293192704
2023/1/9,30293192704
2023/1/10,30293192704
2023/1/11,30293192704
2023/1/12,30293192704
2023/1/13,30293192704
2023/1/14,30293192704
2023/1/15,30293192704
2023/1/16,30293192704
2023/1/17,30293192704
2023/1/18,30293192704
2023/1/19,30293192704
2023/1/20,30293192704
2023/1/21,30293192704
2023/1/22,30293192704
2023/1/23,30293192704
2023/1/24,30293192704
2023/1/25,30293192704
2023/1/26,30293192704
2023/1/27,30293192704
2023/1/28,30293192704
2023/1/29,30293192704
2023/1/30,30293192704
2023/1/31,30293192704
2023/2/1,30293192704
2023/2/2,30293192704
2023/2/3,30293192704
2023/2/4,30293192704
2023/2/5,30293192704
2023/2/6,30293192704
2023/2/7,30293192704
2023/2/8,30293192704
2023/2/9,30293192704
2023/2/10,30293192704
2023/2/11,30293192704
2023/2/12,30293192704
2023/2/13,30293192704
2023/2/14,30293192704
2023/2/15,30293192704
2023/2/16,30293192704
2023/2/17,30293192704
2023/2/18,30293192704
2023/2/19,30293192704
2023/2/20,33898364928
2023/2/21,32633831424
2023/2/22,32633831424
2023/2/23,32633831424
2023/2/24,32633831424
2023/2/25,32633831424
2023/2/26,32633831424
2023/2/27,33889480704
2023/2/28,33806131200
2023/3/1,33806131200
2023/3/2,33806131200
2023/3/3,33806131200
2023/3/4,33806131200
2023/3/5,33806131200
2023/3/6,33806131200
2023/3/7,33806131200
2023/3/8,33806131200
2023/3/9,33806131200
2023/3/10,33806131200
2023/3/11,33806131200
2023/3/12,33806131200
2023/3/13,33806131200
2023/3/14,33806131200
2023/3/15,33806131200
2023/3/16,33806131200
2023/3/17,33806131200
2023/3/18,33806131200
2023/3/19,33806131200
2023/3/20,33806131200
2023/3/21,35316109312
2023/3/22,34978349056
2023/3/23,34978349056
2023/3/24,34978349056
2023/3/25,34978349056
2023/3/26,34978349056
2023/3/27,34978349056
2023/3/28,34978349056
2023/3/29,36268949504
2023/3/30,36151869440
2023/3/31,36151869440
2023/4/1,25747542016
2023/4/2,25747542016
2023/4/3,25747542016
2023/4/4,25747542016
2023/4/5,25747542016
2023/4/6,25747542016
2023/4/7,25747542016
2023/4/8,25747542016
2023/4/9,25747542016
2023/4/10,25747542016
2023/4/11,25747542016
2023/4/12,25747542016
2023/4/13,27269770549
2023/4/14,26984983763
2023/4/15,26935704296
2023/4/16,26926227936
2023/4/17,26925548740
2023/4/18,26932416811
2023/4/19,27036118491
2023/4/20,26913067177
2023/4/21,26919879316
2023/4/22,26922364457
2023/4/23,26922785215
2023/4/24,26923466752
2023/4/25,26923466752
2023/4/26,26923466752
2023/4/27,26923466752
2023/4/28,26923466752
