date,value
2023/4/7 2:44,767458.6167
2023/4/7 2:46,1313618.917
2023/4/7 2:48,1054315.867
2023/4/7 2:50,761818.6667
2023/4/7 2:52,756235.15
2023/4/7 2:54,693172.8333
2023/4/7 2:56,836833.7167
2023/4/7 2:58,501203.6099
2023/4/7 3:00,477193.85
2023/4/7 3:02,801796.5667
2023/4/7 3:04,1187635.983
2023/4/7 3:06,1581289.617
2023/4/7 3:08,1411964.8
2023/4/7 3:10,1181141.55
2023/4/7 3:12,1214532.233
2023/4/7 3:14,1100022.767
2023/4/7 3:16,586142.7167
2023/4/7 3:18,484963.8833
2023/4/7 3:20,984785.2667
2023/4/7 3:22,1018387.933
2023/4/7 3:24,687179.1833
2023/4/7 3:26,701440.15
2023/4/7 3:28,1152631.8
2023/4/7 3:30,441968.15
2023/4/7 3:32,1221113.8
2023/4/7 3:34,947973.3833
2023/4/7 3:36,443283.5
2023/4/7 3:38,986402.0333
2023/4/7 3:40,1153547.717
2023/4/7 3:42,429997.9667
2023/4/7 3:44,1034199.75
2023/4/7 3:46,986299.0167
2023/4/7 3:48,448805.9667
2023/4/7 3:50,886882.1667
2023/4/7 3:52,715422.75
2023/4/7 3:54,716218.6
2023/4/7 3:56,1257127.083
2023/4/7 3:58,709075.85
2023/4/7 4:00,702719.2594
2023/4/7 4:02,1444791.216
2023/4/7 4:04,410071.5167
2023/4/7 4:06,465236.6833
2023/4/7 4:08,1260249.133
2023/4/7 4:10,643929.6
2023/4/7 4:12,688945.0167
2023/4/7 4:14,1277223.083
2023/4/7 4:16,695585.4333
2023/4/7 4:18,698385.6167
2023/4/7 4:20,978723.1667
2023/4/7 4:22,550793.4
2023/4/7 4:24,1243672.367
2023/4/7 4:26,447623.35
2023/4/7 4:28,964549.0974
2023/4/7 4:30,1127841.233
2023/4/7 4:32,710589.7167
2023/4/7 4:34,694829.1667
2023/4/7 4:36,1209839.733
2023/4/7 4:38,678457.8833
2023/4/7 4:40,1239805.35
2023/4/7 4:42,658867.1167
2023/4/7 4:44,711643.3333
2023/4/7 4:46,939381.6833
2023/4/7 4:48,637739.8333
2023/4/7 4:50,701394.4667
2023/4/7 4:52,668944.2667
2023/4/7 4:54,618240.7
2023/4/7 4:56,866559.9667
2023/4/7 4:58,449434.85
2023/4/7 5:00,691417.7833
2023/4/7 5:02,1170591.767
2023/4/7 5:04,715145.25
2023/4/7 5:06,639563.75
2023/4/7 5:08,1267460.683
2023/4/7 5:10,1033621.967
2023/4/7 5:12,735932.1867
2023/4/7 5:14,447025.5333
2023/4/7 5:16,1223221.75
2023/4/7 5:18,1573796.2
2023/4/7 5:20,871900.45
2023/4/7 5:22,741727.1
2023/4/7 5:24,471435.7
2023/4/7 5:26,689304.5833
2023/4/7 5:28,1255288.717
2023/4/7 5:30,732117.25
2023/4/7 5:32,535789.1167
2023/4/7 5:34,764344.2833
2023/4/7 5:36,1367455.317
2023/4/7 5:38,1256249.933
2023/4/7 5:40,1130532.3
2023/4/7 5:42,937438.55
2023/4/7 5:44,892218.8167
2023/4/7 5:46,853605.55
2023/4/7 5:48,813411.5333
2023/4/7 5:50,1103753.333
2023/4/7 5:52,982881.7833
2023/4/7 5:54,981367.2167
2023/4/7 5:56,1208083.733
2023/4/7 5:58,1424657.583
2023/4/7 6:00,1432813.367
2023/4/7 6:02,1387098.683
2023/4/7 6:04,1763073.533
2023/4/7 6:06,1496778.633
2023/4/7 6:08,1376974.867
2023/4/7 6:10,1509797.667
2023/4/7 6:12,1673268.983
2023/4/7 6:14,1879098.867
2023/4/7 6:16,1698595.283
2023/4/7 6:18,1273650.676
2023/4/7 6:20,1570936.6
2023/4/7 6:22,1994717.45
2023/4/7 6:24,1877442.183
2023/4/7 6:26,1350043.241
2023/4/7 6:28,1109911.167
2023/4/7 6:30,1283444.217
2023/4/7 6:32,2097966.85
2023/4/7 6:34,1602679.183
2023/4/7 6:36,1724556.517
2023/4/7 6:38,1665121.95
2023/4/7 6:40,1899999.35
2023/4/7 6:42,1456124.783
2023/4/7 6:44,1450002.233
2023/4/7 6:46,2131903.583
2023/4/7 6:48,1733006.717
2023/4/7 6:50,1479054.35
2023/4/7 6:52,2295477.067
2023/4/7 6:54,1718451.733
2023/4/7 6:56,1538841.4
2023/4/7 6:58,1921605.35
2023/4/7 7:00,1516792.55
2023/4/7 7:02,2301924.317
2023/4/7 7:04,1307593.633
2023/4/7 7:06,1937676.483
2023/4/7 7:08,1268300.017
2023/4/7 7:10,2090677.25
2023/4/7 7:12,1541529.083
2023/4/7 7:14,2127445.783
2023/4/7 7:16,2401918.5
2023/4/7 7:18,2261747
2023/4/7 7:20,1707458.3
2023/4/7 7:22,1890216.533
2023/4/7 7:24,1844391.617
2023/4/7 7:26,2456238.183
2023/4/7 7:28,2422764.8
2023/4/7 7:30,1608533.067
2023/4/7 7:32,2445911.667
2023/4/7 7:34,1858600.067
2023/4/7 7:36,2243815.483
2023/4/7 7:38,1770617.8
2023/4/7 7:40,2074701.817
2023/4/7 7:42,1881152.583
2023/4/7 7:44,1913205.55
2023/4/7 7:46,2156730.967
2023/4/7 7:48,1676022.317
2023/4/7 7:50,2062954.517
2023/4/7 7:52,2182937.767
2023/4/7 7:54,2267351.9
2023/4/7 7:56,2276926.183
2023/4/7 7:58,2264459.283
2023/4/7 8:00,1447634.783
2023/4/7 8:02,2369853.267
2023/4/7 8:04,2400533.683
2023/4/7 8:06,2853999.7
2023/4/7 8:08,2752819.833
2023/4/7 8:10,2548298.383
2023/4/7 8:12,2719092.5
2023/4/7 8:14,2807645.5
2023/4/7 8:16,2931959.932
2023/4/7 8:18,3160457.8
2023/4/7 8:20,2862240.55
2023/4/7 8:22,2890023.3
2023/4/7 8:24,2853933.1
2023/4/7 8:26,2746238.117
2023/4/7 8:28,2858834.767
2023/4/7 8:30,2913204.067
2023/4/7 8:32,2823174.4
2023/4/7 8:34,2813474.067
2023/4/7 8:36,3503996.217
2023/4/7 8:38,2796249.1
2023/4/7 8:40,3410422.1
2023/4/7 8:42,3169120.85
2023/4/7 8:44,2986485.417
2023/4/7 8:46,3264804.85
2023/4/7 8:48,4021340.85
2023/4/7 8:50,3758897.733
2023/4/7 8:52,3295831.517
2023/4/7 8:54,4134851.25
2023/4/7 8:56,4305418.25
2023/4/7 8:58,4726557.833
2023/4/7 9:00,6830678.083
2023/4/7 9:02,6505949.967
2023/4/7 9:04,6331999.183
2023/4/7 9:06,6560461.117
2023/4/7 9:08,6276658.733
2023/4/7 9:10,6465155.5
2023/4/7 9:12,6428703.017
2023/4/7 9:14,6377965.783
2023/4/7 9:16,6622672.683
2023/4/7 9:18,6051850.75
2023/4/7 9:20,5923045.883
2023/4/7 9:22,6221926.257
2023/4/7 9:24,6171798
2023/4/7 9:26,6563422.733
2023/4/7 9:28,6446614.983
2023/4/7 9:30,5744460.883
2023/4/7 9:32,6269489.65
2023/4/7 9:34,6088185.833
2023/4/7 9:36,6175598.933
2023/4/7 9:38,5857712.95
2023/4/7 9:40,6519507.75
2023/4/7 9:42,6011375.233
2023/4/7 9:44,6316393.633
2023/4/7 9:46,5756174.9
2023/4/7 9:48,6477451.783
2023/4/7 9:50,5756681.95
2023/4/7 9:52,6544757.317
2023/4/7 9:54,6003351.3
2023/4/7 9:56,6163388.6
2023/4/7 9:58,6423853.517
2023/4/7 10:00,6864747.683
