,values
90,1.3603752456858829e+17
91,1.36442855253291e+17
92,1.3677378645341389e+17
93,1.370623074273198e+17
94,1.374288530715566e+17
95,1.3780612768443597e+17
96,1.3785433721961677e+17
97,1.3787722645468365e+17
98,1.383603742797742e+17
99,1.3958509576799437e+17
100,1.4041166611930317e+17
101,1.4078571084156109e+17
102,1.405648528644014e+17
103,1.4030054207012045e+17
104,1.4018546177551565e+17
105,1.4018741848640717e+17
106,1.3997531794343117e+17
107,1.394561653202862e+17
108,1.3889161634563277e+17
109,1.383796119760814e+17
110,1.3808088085839053e+17
111,1.3775241366457549e+17
112,1.3742140669955277e+17
113,1.370963192790958e+17
114,1.3728148869430477e+17
115,1.3755614798566605e+17
116,1.3786670172185805e+17
117,1.3814139066035405e+17
118,1.382945741113262e+17
119,1.3870237539058893e+17
120,1.3906330949104845e+17
121,1.3973109802411213e+17
122,1.4000676531805389e+17
123,1.4012567503422669e+17
124,1.3999516011187405e+17
125,1.3992458016648397e+17
126,1.3997100263826637e+17
127,1.4010066602902733e+17
128,1.40310735743275e+17
129,1.406454436589486e+17
130,1.4112936560366797e+17
131,1.4160360446477517e+17
132,1.4289791601349837e+17
133,1.4453542114667725e+17
134,1.45628814063403e+17
135,1.4592132587105485e+17
136,1.455945716228014e+17
137,1.453850355569787e+17
138,1.453324415399854e+17
139,1.454379721630843e+17
140,1.457154858146939e+17
141,1.462799474950062e+17
142,1.4687481066491085e+17
143,1.4741927699991757e+17
144,1.4775111079058637e+17
145,1.479945104725115e+17
146,1.4825147536563405e+17
147,1.4861193511193805e+17
148,1.490538684785787e+17
149,1.4963109160332493e+17
150,1.503155846497403e+17
151,1.5083199161879757e+17
152,1.5118313228242125e+17
153,1.51536664481579e+17
154,1.51927100775211e+17
155,1.52418007914283e+17
156,1.529511292790702e+17
157,1.5341320293256397e+17
158,1.5381703643696333e+17
159,1.5412211862973645e+17
160,1.5452322789186765e+17
161,1.5495752876838093e+17
162,1.5547277620505805e+17
163,1.559868476387246e+17
164,1.5661004029291725e+17
165,1.5714179459538125e+17
166,1.5760060376992973e+17
167,1.580466185587835e+17
168,1.585625281148027e+17
169,1.5944822638218445e+17
170,1.604293917174907e+17
171,1.613246989506478e+17
172,1.617116632353915e+17
173,1.618297543612334e+17
174,1.6211353344064717e+17
175,1.6267444405304525e+17
176,1.6347224515423437e+17
177,1.6408737708190925e+17
178,1.6450696968547533e+17
179,1.647665369382011e+17
180,1.6501977617472717e+17
181,1.654238139149435e+17
182,1.6594807737470157e+17
183,1.665129672914043e+17
184,1.6717695110884557e+17
185,1.679495192042619e+17
186,1.68558731587371e+17
187,1.6896696604421325e+17
188,1.6923859968077005e+17
189,1.6978889661893837e+17
190,1.7044571241802957e+17
191,1.7130186237447373e+17
192,1.720061662951342e+17
193,1.7240522331671757e+17
194,1.7254146837138637e+17
195,1.7262397305318605e+17
196,1.728929648006267e+17
197,1.7360139296713933e+17
198,1.7428639989722317e+17
199,1.746316704281723e+17
200,1.745335186474926e+17
201,1.7426600925678797e+17
202,1.7417631679188173e+17
203,1.7428448930409677e+17
204,1.7430109828779213e+17
205,1.7441696587853005e+17
206,1.74484040873771e+17
207,1.744379889911726e+17
208,1.7429371944537293e+17
209,1.7426434901724365e+17
210,1.7449211807091917e+17
211,1.74923806705451e+17
212,1.7546011678428365e+17
213,1.7601471585111245e+17
214,1.7652138538347725e+17
215,1.769234268832891e+17
216,1.7726423057927373e+17
217,1.775521767281787e+17
218,1.7777407564917965e+17
219,1.776806476452987e+17
220,1.7739828174597325e+17
221,1.769600905065595e+17
222,1.7641778511826125e+17
223,1.7601255490440397e+17
224,1.760851047371899e+17
225,1.7639240058268877e+17
226,1.7689148044856525e+17
227,1.772852536919163e+17
228,1.7761158958615757e+17
