,values
0,120911223532290048
1,121233139921059840
2,121489369080004608
3,121370570284597248
4,121250912495730688
5,121132405758099456
6,121027093160001536
7,121085083808432128
8,121305132162875392
9,121399870551490560
10,121612308223885312
11,121703095242588160
12,121865848733302784
13,122061836680953856
14,122255556885872640
15,122627896190697472
16,122949434622345216
17,124252098203222016
18,124882754021097472
19,125324654616248320
20,126332365613039616
21,125926027347099648
22,126372137010200576
23,126906430941822976
24,127132732768649216
25,127563483628699648
26,128149351527612416
27,128740253128196096
28,129344340278378496
29,129769396011794432
30,129528972332498944
31,127649305665208320
32,126717332121714688
33,125273501555752960
34,124715808642301952
35,125015520050151424
36,125312637297754112
37,125535863927996416
38,125872950141255680
39,126394522379747328
40,126997776306274304
41,127547961616891904
42,128057525126823936
43,128304571645689856
44,128572560425091072
45,128721415401635840
46,129041931631067136
47,129599521465303040
48,130018598604242944
49,130577820526051328
50,130819438206255104
51,131000290689155072
52,130787964685910016
53,130726692682465280
54,130659330415394816
55,130658488601804800
56,130753897005318144
57,131033980412624896
58,131238154567942144
59,131622717349691392
60,132120882016419840
61,132642703363014656
62,132994023097892864
63,133285900485394432
64,133377503547883520
65,133453584598564864
66,133733882754236416
67,134091868278358016
68,134575558905298944
69,134914079637635072
70,135156221303848960
71,135348137622503424
72,135415843486957568
73,135667167793250304
74,136058628292476928
75,136502427263172608
76,136774229973532672
77,137113360591224832
78,137106978269822976
79,137119150207139840
80,137299985510170624
81,137676851710525440
82,138159382696296448
83,138437705167011840
84,138952568666587136
85,139174343597883392
86,140008958822711296
87,140019412773109760
88,140574417037033472
89,140785506089697280
90,141044578516992000
91,141518708546732032
92,141342984254783488
93,141329480877604864
94,141783793928241152
95,143377647701852160
96,143624857429475328
97,144669891692068864
98,144089246473388032
99,143263925557788672
100,143330007924604928
101,143540787739623424
102,142863952433381376
103,142301552235773952
104,141683480672075776
105,141028412260089856
106,140884857273188352
107,140826480077701120
108,140484635040677888
109,140197267368837120
110,140477711553396736
111,141024924746645504
112,141037173993373696
113,141890626944761856
114,141805260174786560
115,142068627569377280
116,142897444588355584
117,143307193058328576
118,143652130471804928
119,143566694982352896
120,143439821648429056
121,143175895908089856
122,143320464507273216
123,143637544762867712
124,143851640292638720
