date,values
2023/4/6 21:41,4.35455
2023/4/6 21:43,0.30305
2023/4/6 21:45,3.49335
2023/4/6 21:47,5.087483334
2023/4/6 21:49,2.3797
2023/4/6 21:51,2.40765
2023/4/6 21:53,1.039866667
2023/4/6 21:55,0.069966667
2023/4/6 21:57,0.074364188
2023/4/6 21:59,2.581933333
2023/4/6 22:01,2.2006
2023/4/6 22:03,1.15085
2023/4/6 22:05,0.3853
2023/4/6 22:07,1.218033333
2023/4/6 22:09,1.320845277
2023/4/6 22:11,0.0974
2023/4/6 22:13,3.810983333
2023/4/6 22:15,1.083316667
2023/4/6 22:17,2.596983333
2023/4/6 22:19,7.6859
2023/4/6 22:21,0.545983333
2023/4/6 22:23,0.3897
2023/4/6 22:25,0.61815
2023/4/6 22:27,1.979733333
2023/4/6 22:29,0.02625
2023/4/6 22:31,0.46115
2023/4/6 22:33,1.9214
2023/4/6 22:35,0.07895
2023/4/6 22:37,0.7278
2023/4/6 22:39,1.035033333
2023/4/6 22:41,0.1097
2023/4/6 22:43,0.581766666
2023/4/6 22:45,0.447516667
2023/4/6 22:47,5.055766667
2023/4/6 22:49,0.89135
2023/4/6 22:51,0.467633333
2023/4/6 22:53,0.1081
2023/4/6 22:55,1.304513785
2023/4/6 22:57,1.142033333
2023/4/6 22:59,0.713266667
2023/4/6 23:01,0.1225
2023/4/6 23:03,0.51635
2023/4/6 23:05,0.450716667
2023/4/6 23:07,0.432183333
2023/4/6 23:09,1.3717
2023/4/6 23:11,0.596666667
2023/4/6 23:13,0.097633333
2023/4/6 23:15,15.43018333
2023/4/6 23:17,0.099316667
2023/4/6 23:19,4.804633333
2023/4/6 23:21,0.032066667
2023/4/6 23:23,1.1906
2023/4/6 23:25,0.139066667
2023/4/6 23:27,0.1322
2023/4/6 23:29,0.046083333
2023/4/6 23:31,0.02775
2023/4/6 23:33,2.750683333
2023/4/6 23:35,0.452016667
2023/4/6 23:37,6.305
2023/4/6 23:39,0.9626
2023/4/6 23:41,0.421966667
2023/4/6 23:43,0.408083333
2023/4/6 23:45,19.33556667
2023/4/6 23:47,0.093616667
2023/4/6 23:49,14.80026667
2023/4/6 23:51,0.447466667
2023/4/6 23:53,3.01165
2023/4/6 23:55,0.0633
2023/4/6 23:57,0.10695
2023/4/6 23:59,2.783216667
2023/4/7 0:01,0.1248
2023/4/7 0:03,0.036983333
2023/4/7 0:05,0.01895
2023/4/7 0:07,0.651033333
2023/4/7 0:09,0.0941
2023/4/7 0:11,0.082033333
2023/4/7 0:13,0.566833333
2023/4/7 0:15,4.253083333
2023/4/7 0:17,0.589533333
2023/4/7 0:19,0.061233333
2023/4/7 0:21,0
2023/4/7 0:23,3.0228
2023/4/7 0:25,0.008150679
2023/4/7 0:27,0.02535
2023/4/7 0:29,0.043366667
2023/4/7 0:31,0.022983333
2023/4/7 0:33,0
2023/4/7 0:35,0.183183334
2023/4/7 0:37,0.012933333
2023/4/7 0:39,0.0086
2023/4/7 0:41,0.016666667
2023/4/7 0:43,0
2023/4/7 0:45,0.035366667
2023/4/7 0:47,0.025116667
2023/4/7 0:49,0.058716667
2023/4/7 0:51,0.046016667
2023/4/7 0:53,0.0508
2023/4/7 0:55,0.044
2023/4/7 0:57,0.102416667
2023/4/7 0:59,0.292666667
2023/4/7 1:01,0.414083333
2023/4/7 1:03,0.0337
2023/4/7 1:05,0.29685
2023/4/7 1:07,0.307116667
2023/4/7 1:09,0.02585
2023/4/7 1:11,0.039383333
2023/4/7 1:13,0.006583334
2023/4/7 1:15,0.004933333
2023/4/7 1:17,0.026866666
2023/4/7 1:19,0.02555
2023/4/7 1:21,0.000433333
2023/4/7 1:23,0.074866667
2023/4/7 1:25,0.11845
2023/4/7 1:27,0.053533333
2023/4/7 1:29,0.018833334
2023/4/7 1:31,0.08095
2023/4/7 1:33,0.056383333
2023/4/7 1:35,0.190066667
2023/4/7 1:37,0.042616667
2023/4/7 1:39,0.03735
2023/4/7 1:41,0.310416667
2023/4/7 1:43,0.223316667
2023/4/7 1:45,0
2023/4/7 1:47,0.243183333
2023/4/7 1:49,0
2023/4/7 1:51,0.020366666
2023/4/7 1:53,0.009066667
2023/4/7 1:55,0.025016667
2023/4/7 1:57,0.008483333
2023/4/7 1:59,0
2023/4/7 2:01,0.034616667
2023/4/7 2:03,0.027266667
2023/4/7 2:05,0.052066667
2023/4/7 2:07,0.018783333
2023/4/7 2:09,0.052866667
2023/4/7 2:11,0.035533333
2023/4/7 2:13,0.015516667
2023/4/7 2:15,0.01615
2023/4/7 2:17,0.014816667
2023/4/7 2:19,0.010416667
2023/4/7 2:21,0.025516667
