,values
0,91197624287232
1,91625820782592
2,92155796258816
3,92613772312576
4,93112022073344
5,94059867668480
6,95514779451392
7,96987282145280
8,98533814304768
9,100037723947008
10,101631601410048
11,103356408266752
12,105090929131520
13,106888037400576
14,108722105876480
15,110604434014208
16,112464716890112
17,114250190159872
18,116156383887360
19,117932277366784
20,119606240870400
21,121423389523968
22,123154974375936
23,124679763263488
24,126144011567104
25,127291153711104
26,127644456714240
27,127830255992832
28,128001895301120
29,128001895301120
30,128001895301120
31,128001895301120
32,127969280393216
33,127774345920512
34,127591314882560
35,127456627392512
36,127024035266560
37,126759114637312
38,126697785524224
39,126546656362496
40,126584354766848
41,126866656591872
42,127007325159424
43,127256919801856
44,127330655666176
45,127384787353600
46,127535866183680
47,127535866183680
48,127595098144768
49,127666199986176
50,127846278234112
51,128013664518144
52,128035147743232
53,128035147743232
54,128059374043136
55,128059374043136
56,128059374043136
57,128059374043136
58,127996618866688
59,127910711132160
60,127910711132160
61,127844902502400
62,127658457300992
63,127573396815872
64,127520833798144
65,127687339278336
66,127687339278336
67,127687339278336
68,127724727304192
69,127776929611776
70,127808915374080
71,128030777278464
72,128030777278464
73,128030777278464
74,128067410329600
75,128067410329600
76,128067410329600
77,128067410329600
78,128009503768576
79,128101870731264
80,128140038897664
81,128140038897664
82,128140038897664
83,128140038897664
84,128123312013312
85,128170539876352
86,128228278665216
87,128273627480064
88,128348135096320
89,128348135096320
90,128348135096320
91,128491370577920
92,128739421716480
93,128758874898432
94,128758874898432
95,128758874898432
96,128758874898432
97,125692687679488
98,120594225954816
99,118412651003904
100,117655512023040
101,117319867039744
102,116758467837952
103,116060854419456
104,115083413815296
105,113572172529664
106,112209929699328
107,110478999158784
108,108901269766144
109,107936865058816
110,106933956640768
111,105775229829120
112,104578871721984
113,103230319099904
114,101885600071680
115,100631368957952
116,99456435355648
117,98602667999232
118,97250130788352
119,95929428344832
120,94813416325120
121,93306822328320
122,91870583586816
123,90858607083520
124,89694847107072
125,88464825516032
126,87293062807552
127,86049862713344
128,85177632030720
129,84388389847040
130,83612770762752
131,83164676489216
132,82832168845312
133,82641353179136
134,82538173300736
135,82359219126272
136,82423568138240
137,82374452838400
138,82423568138240
139,82371692986368
140,82366097784832
141,82625951694848
142,82674731450368
143,82690653028352
144,82674731450368
145,82690653028352
146,82612051771392
