,values
2021/6/2,1.15E+17
2021/6/3,1.16E+17
2021/6/4,1.16E+17
2021/6/5,1.17E+17
2021/6/6,1.17E+17
2021/6/7,1.17E+17
2021/6/8,1.16E+17
2021/6/9,1.16E+17
2021/6/10,1.16E+17
2021/6/11,1.16E+17
2021/6/12,1.16E+17
2021/6/13,1.17E+17
2021/6/14,1.17E+17
2021/6/15,1.17E+17
2021/6/16,1.17E+17
2021/6/17,1.17E+17
2021/6/18,1.18E+17
2021/6/19,1.18E+17
2021/6/20,1.18E+17
2021/6/21,1.19E+17
2021/6/22,1.26E+17
2021/6/23,1.20E+17
2021/6/24,1.21E+17
2021/6/25,1.22E+17
2021/6/26,1.22E+17
2021/6/27,1.22E+17
2021/6/28,1.23E+17
2021/6/29,1.23E+17
2021/6/30,1.24E+17
2021/7/1,1.25E+17
2021/7/2,1.25E+17
2021/7/3,1.26E+17
2021/7/4,1.26E+17
2021/7/5,1.24E+17
2021/7/6,1.20E+17
2021/7/7,1.20E+17
2021/7/8,1.21E+17
2021/7/9,1.21E+17
2021/7/10,1.21E+17
2021/7/11,1.21E+17
2021/7/12,1.22E+17
2021/7/13,1.22E+17
2021/7/14,1.23E+17
2021/7/15,1.24E+17
2021/7/16,1.24E+17
2021/7/17,1.24E+17
2021/7/18,1.24E+17
2021/7/19,1.25E+17
2021/7/20,1.25E+17
2021/7/21,1.26E+17
2021/7/22,1.26E+17
2021/7/23,1.27E+17
2021/7/24,1.27E+17
2021/7/25,1.26E+17
2021/7/26,1.27E+17
2021/7/27,1.26E+17
2021/7/28,1.26E+17
2021/7/29,1.26E+17
2021/7/30,1.26E+17
2021/7/31,1.27E+17
2021/8/1,1.27E+17
2021/8/2,1.27E+17
2021/8/3,1.28E+17
2021/8/4,1.29E+17
2021/8/5,1.29E+17
2021/8/6,1.29E+17
2021/8/7,1.29E+17
2021/8/8,1.29E+17
2021/8/9,1.29E+17
2021/8/10,1.30E+17
2021/8/11,1.31E+17
2021/8/12,1.31E+17
2021/8/13,1.31E+17
2021/8/14,1.31E+17
2021/8/15,1.31E+17
2021/8/16,1.31E+17
2021/8/17,1.32E+17
2021/8/18,1.33E+17
2021/8/19,1.33E+17
2021/8/20,1.33E+17
2021/8/21,1.33E+17
2021/8/22,1.33E+17
2021/8/23,1.33E+17
2021/8/24,1.33E+17
2021/8/25,1.35E+17
2021/8/26,1.34E+17
